geometry;ux;uy;p;x;y
1;0,34746602;-2,5579125e-06;3,7202773;0,60000002;0,1
2;0;0;3,200048;0,69999999;0
1;0,34746605;-2,5579739e-06;3,6402774;0,69999999;0,1
2;0;0;3,1333814;0,80000001;0
1;0,34746605;-2,5580352e-06;3,5602772;0,80000001;0,1
2;0;0;3,0667148;0,89999998;0
1;0,34746608;-2,5580966e-06;3,4802773;0,89999998;0,1
2;0;0;3,0000479;1;0
1;0,34746611;-2,5581578e-06;3,4002774;1;0,1
2;0;0;2,9333813;1,1;0
1;0,34746611;-2,5582192e-06;3,3202775;1,1;0,1
3;0,63999999;0;4,6213994;0;0,2
1;0,6274659;-1,9182044e-06;4,1205015;0,1;0,2
1;0,62746596;-1,9182503e-06;4,0405011;0,2;0,2
1;0,62746596;-1,9182962e-06;3,9605014;0,30000001;0,2
1;0,62746596;-1,9183424e-06;3,8805013;0,40000001;0,2
1;0,62746602;-1,9183883e-06;3,8005013;0,5;0,2
1;0,62746602;-1,9184342e-06;3,7205014;0,60000002;0,2
1;0,62746602;-1,9184802e-06;3,6405013;0,69999999;0,2
1;0,62746608;-1,9185263e-06;3,5605013;0,80000001;0,2
1;0,62746608;-1,9185723e-06;3,4805014;0,89999998;0,2
1;0,62746608;-1,9186184e-06;3,4005013;1;0,2
1;0,62746614;-1,9186643e-06;3,3205013;1,1;0,2
3;0,83999997;0;4,6224084;0;0,30000001
1;0,82746589;-1,2788028e-06;4,1206613;0,1;0,30000001
1;0,82746595;-1,2788335e-06;4,0406613;0,2;0,30000001
1;0,82746595;-1,2788641e-06;3,9606614;0,30000001;0,30000001
1;0,82746595;-1,2788947e-06;3,8806612;0,40000001;0,30000001
1;0,82746601;-1,2789254e-06;3,8006613;0,5;0,30000001
1;0,82746601;-1,2789561e-06;3,7206614;0,60000002;0,30000001
1;0,82746601;-1,2789868e-06;3,6406612;0,69999999;0,30000001
1;0,82746607;-1,2790175e-06;3,5606613;0,80000001;0,30000001
1;0,82746607;-1,2790481e-06;3,4806614;0,89999998;0,30000001
1;0,82746607;-1,2790788e-06;3,4006612;1;0,30000001
1;0,82746613;-1,2791095e-06;3,3206613;1,1;0,30000001
3;0,95999998;0;4,6230154;0;0,40000001
1;0,9474659;-6,3940138e-07;4,1207571;0,1;0,40000001
1;0,94746596;-6,3941673e-07;4,0407572;0,2;0,40000001
1;0,94746596;-6,3943202e-07;3,9607573;0,30000001;0,40000001
1;0,94746596;-6,3944736e-07;3,8807573;0,40000001;0,40000001
1;0,94746602;-6,3946271e-07;3,8007574;0,5;0,40000001
1;0,94746602;-6,3947806e-07;3,7207572;0,60000002;0,40000001
1;0,94746602;-6,3949335e-07;3,6407573;0,69999999;0,40000001
1;0,94746608;-6,395087e-07;3,5607574;0,80000001;0,40000001
1;0,94746608;-6,3952405e-07;3,4807572;0,89999998;0,40000001
1;0,94746608;-6,3953939e-07;3,4007573;1;0,40000001
1;0,94746614;-6,3955474e-07;3,3207574;1,1;0,40000001
3;1;0;4,6232181;0;0,5
1;0,98746592;0;4,1207895;0,1;0,5
1;0,98746592;0;4,0407891;0,2;0,5
1;0,98746598;0;3,9607894;0,30000001;0,5
1;0,98746598;0;3,8807893;0,40000001;0,5
1;0,98746598;0;3,8007894;0,5;0,5
1;0,98746604;0;3,7207894;0,60000002;0,5
1;0,98746604;0;3,6407893;0,69999999;0,5
1;0,98746604;0;3,5607893;0,80000001;0,5
1;0,9874661;0;3,4807894;0,89999998;0,5
1;0,9874661;0;3,4007893;1;0,5
1;0,9874661;0;3,3207893;1,1;0,5
3;0,95999998;0;4,6230154;0;0,60000002
1;0,9474659;6,3940138e-07;4,1207571;0,1;0,60000002
1;0,94746596;6,3941673e-07;4,0407572;0,2;0,60000002
1;0,94746596;6,3943202e-07;3,9607573;0,30000001;0,60000002
1;0,94746596;6,3944736e-07;3,8807573;0,40000001;0,60000002
1;0,94746602;6,3946271e-07;3,8007574;0,5;0,60000002
1;0,94746602;6,3947806e-07;3,7207572;0,60000002;0,60000002
1;0,94746602;6,3949335e-07;3,6407573;0,69999999;0,60000002
1;0,94746608;6,395087e-07;3,5607574;0,80000001;0,60000002
1;0,94746608;6,3952405e-07;3,4807572;0,89999998;0,60000002
1;0,94746608;6,3953939e-07;3,4007573;1;0,60000002
1;0,94746614;6,3955474e-07;3,3207574;1,1;0,60000002
3;1;0;4,6232181;0;0,5
1;0,98746592;0;4,1207895;0,1;0,5
3;0,95999998;0;4,6230154;0;0,60000002
1;0,9474659;6,3940138e-07;4,1207571;0,1;0,60000002
1;0,98746592;0;4,0407891;0,2;0,5
1;0,94746596;6,3941673e-07;4,0407572;0,2;0,60000002
1;0,98746598;0;3,9607894;0,30000001;0,5
1;0,94746596;6,3943202e-07;3,9607573;0,30000001;0,60000002
1;0,98746598;0;3,8807893;0,40000001;0,5
1;0,94746596;6,3944736e-07;3,8807573;0,40000001;0,60000002
1;0,98746598;0;3,8007894;0,5;0,5
1;0,94746602;6,3946271e-07;3,8007574;0,5;0,60000002
1;0,98746604;0;3,7207894;0,60000002;0,5
1;0,94746602;6,3947806e-07;3,7207572;0,60000002;0,60000002
1;0,98746604;0;3,6407893;0,69999999;0,5
1;0,94746602;6,3949335e-07;3,6407573;0,69999999;0,60000002
1;0,98746604;0;3,5607893;0,80000001;0,5
1;0,94746608;6,395087e-07;3,5607574;0,80000001;0,60000002
1;0,9874661;0;3,4807894;0,89999998;0,5
