geometry,ux,uy,p,x,y
1,0.968379557,-0.00258028531,1.2920934,2.4000001,0.400000006
1,0.967539072,-0.00208077487,1.25920331,2.45000005,0.400000006
1,0.966582179,-0.0015523202,1.20099449,2.5,0.400000006
1,0.966018081,-0.00124169688,1.16199255,2.54999995,0.400000006
1,0.96576637,-0.000962377235,1.13302135,2.5999999,0.400000006
1,0.965417027,-0.000707630825,1.08930421,2.6500001,0.400000006
1,0.96509856,-0.000491124636,1.0433948,2.70000005,0.400000006
1,0.964995801,-0.000361282262,1.00693119,2.75,0.400000006
1,0.964939415,-0.00026582327,0.969195962,2.79999995,0.400000006
1,0.964824677,-0.000181042255,0.926028967,2.8499999,0.400000006
1,0.964762211,-0.000112640286,0.88501215,2.9000001,0.400000006
1,0.964770675,-7.62722048E-05,0.846618772,2.95000005,0.400000006
1,0.964763045,-5.23393137E-05,0.806231856,3,0.400000006
1,0.964740694,-2.81058456E-05,0.764786959,3.04999995,0.400000006
1,0.964748859,-9.45618103E-06,0.724761307,3.0999999,0.400000006
1,0.964770317,-5.26692816E-07,0.684984922,3.1500001,0.400000006
1,0.964779258,7.59392606E-06,0.644313812,3.20000005,0.400000006
1,0.964791834,1.95412995E-05,0.603681743,3.25,0.400000006
1,0.964817703,3.19112187E-05,0.563556075,3.29999995,0.400000006
1,0.964845955,4.59850417E-05,0.523330867,3.3499999,0.400000006
1,0.964877784,6.65221523E-05,0.48276782,3.4000001,0.400000006
1,0.964922667,9.80012628E-05,0.442264348,3.45000005,0.400000006
1,0.964982033,0.0001356172,0.402060628,3.5,0.400000006
1,0.96506089,0.000193647851,0.361701816,3.54999995,0.400000006
1,0.965165615,0.000257113861,0.320943385,3.5999999,0.400000006
1,0.965302885,0.000342907966,0.28053695,3.6500001,0.400000006
1,0.965484619,0.000420436176,0.240139872,3.70000005,0.400000006
1,0.965691805,0.000489769853,0.199183181,3.75,0.400000006
1,0.965916574,0.000451514788,0.158435076,3.79999995,0.400000006
1,0.96610409,0.000297107734,0.117569059,3.8499999,0.400000006
1,0.966131866,-0.000336495548,0.0760790929,3.9000001,0.400000006
1,0.965725482,-0.00160036655,0.0349409878,3.95000005,0.400000006
4,0.96515727,0,0,4,0.400000006
1,1.01261532,-0.0035511516,1.69983757,1.89999998,0.449999988
1,1.01076758,-0.002423645,1.6512326,1.95000005,0.449999988
1,1.01000535,-0.00115764595,1.61329556,2,0.449999988
1,1.00946784,0.000632949115,1.5810858,2.04999995,0.449999988
1,1.0090611,-0.00116936897,1.52927577,2.0999999,0.449999988
1,1.00804961,-0.00190090295,1.48250282,2.1500001,0.449999988
1,1.00636613,-0.0010283055,1.45591462,2.20000005,0.449999988
1,1.00435805,-0.00203830958,1.4123888,2.25,0.449999988
1,1.00253212,-0.00214602123,1.36119986,2.29999995,0.449999988
1,1.0010649,-0.00131673308,1.32530606,2.3499999,0.449999988
1,0.999722898,-0.00131260895,1.29176652,2.4000001,0.449999988
1,0.998426199,-0.00119719352,1.24861526,2.45000005,0.449999988
1,0.997479796,-0.0008326979,1.2042135,2.5,0.449999988
1,0.996859968,-0.000659424521,1.16680372,2.54999995,0.449999988
1,0.996342719,-0.000527812575,1.12964153,2.5999999,0.449999988
1,0.995870769,-0.000371093571,1.08748984,2.6500001,0.449999988
1,0.995558679,-0.000267404073,1.04574239,2.70000005,0.449999988
1,0.995390534,-0.000214877407,1.00706613,2.75,0.449999988
1,0.99525404,-0.000140772783,0.967655838,2.79999995,0.449999988
1,0.995128334,-8.54646714E-05,0.926368654,2.8499999,0.449999988
1,0.995060742,-6.89276494E-05,0.885757267,2.9000001,0.449999988
1,0.995038986,-5.09116544E-05,0.846112669,2.95000005,0.449999988
1,0.995019794,-2.21466398E-05,0.805886805,3,0.449999988
1,0.995003045,-1.12271409E-05,0.765164614,3.04999995,0.449999988
1,0.995005727,-1.09642697E-05,0.724838853,3.0999999,0.449999988
1,0.995019853,-2.16925991E-06,0.684711516,3.1500001,0.449999988
1,0.995032787,7.71594387E-06,0.644314051,3.20000005,0.449999988
1,0.995049417,1.06446369E-05,0.603836596,3.25,0.449999988
1,0.995075405,1.49331281E-05,0.563511372,3.29999995,0.449999988
1,0.995108306,2.48336219E-05,0.523200989,3.3499999,0.449999988
1,0.995148003,3.70722264E-05,0.482787311,3.4000001,0.449999988
1,0.995201349,5.30940597E-05,0.442347795,3.45000005,0.449999988
1,0.99527359,7.03851983E-05,0.401936859,3.5,0.449999988
1,0.995368361,0.000103065293,0.36154446,3.54999995,0.449999988
1,0.995495379,0.000140449309,0.321020961,3.5999999,0.449999988
1,0.995659113,0.000176798683,0.280410856,3.6500001,0.449999988
1,0.995866776,0.000218712899,0.239840239,3.70000005,0.449999988
1,0.996109247,0.000263363356,0.199154407,3.75,0.449999988
1,0.996369958,0.00022901372,0.158117995,3.79999995,0.449999988
1,0.996573985,0.000154228663,0.117202587,3.8499999,0.449999988
1,0.996610701,-0.000168877377,0.0758049935,3.9000001,0.449999988
1,0.996159852,-0.000831548765,0.0342635177,3.95000005,0.449999988
4,0.995520771,0,0,4,0.449999988
1,1.02703559,1.34370575E-15,1.74886739,1.89999998,0.5
1,1.02224219,1.08367161E-15,1.63195515,1.95000005,0.5
1,1.01971936,-2.05898357E-15,1.61984658,2,0.5
1,1.02024329,-9.31971505E-16,1.58203483,2.04999995,0.5
1,1.01995111,-5.55944569E-15,1.50586951,2.0999999,0.5
